,DATE,AGE,JOB_TYPE,STATUS,EDUCATION,HAS_DEFAULT,BALANCE,HAS_HOUSING_LOAN,HAS_PERSO_LOAN,CONTACT,DURATION_CONTACT,NB_CONTACT,NB_DAY_LAST_CONTACT,NB_CONTACT_LAST_CAMPAIGN,RESULT_LAST_CAMPAIGN,SUBSCRIPTION
91,2010-03-05,54,Employé de ménage,Marié,Tertiaire,No,2473,No,No,Portable,607,2,-1,0,,Yes
92,2010-03-05,40,Chomeur,Célibataire,Secondaire,No,334,No,No,Portable,219,1,91,6,Autre,Yes
93,2010-03-05,46,Admin,Marié,Secondaire,No,0,Yes,No,Portable,135,1,-1,0,,No
94,2010-03-05,64,Retraité,Marié,Secondaire,No,1220,No,No,Portable,84,1,88,1,Echec,No
95,2010-03-05,37,Manager,Marié,Tertiaire,No,6771,No,No,Portable,319,1,-1,0,,Yes
96,2010-03-05,36,Services,Marié,Secondaire,No,52,Yes,No,Portable,498,2,179,7,Succes,Yes
97,2010-03-08,33,Manager,Divorcé,Tertiaire,No,2240,No,No,Portable,264,2,278,1,Succes,Yes
98,2010-03-08,34,Admin,Marié,Tertiaire,No,798,Yes,No,Portable,284,2,-1,0,,No
99,2010-03-08,32,Chomeur,Célibataire,Primaire,No,1429,No,No,Portable,150,4,-1,0,,No
100,2010-03-08,49,Indépendant,Divorcé,Tertiaire,No,3293,No,No,Portable,111,3,585,6,Autre,No
101,2010-03-08,51,Manager,Marié,Tertiaire,No,2635,No,No,Portable,209,2,188,3,Succes,No
102,2010-03-08,83,Retraité,Marié,Tertiaire,No,4761,No,No,Fixe,659,1,-1,0,,Yes
103,2010-03-08,45,Etudiant,Célibataire,,No,1527,No,No,Portable,132,1,-1,0,,Yes
104,2010-03-08,31,Technicien,Marié,Tertiaire,No,1570,Yes,No,Portable,277,4,286,1,Echec,Yes
105,2010-03-08,38,Etudiant,Célibataire,,No,444,No,No,Portable,157,3,206,6,Succes,No
106,2010-03-08,51,Admin,Marié,Tertiaire,No,0,Yes,Yes,Portable,124,2,-1,0,,Yes
107,2010-03-08,64,Chomeur,Divorcé,Secondaire,No,588,No,No,Portable,409,1,-1,0,,Yes
108,2010-03-08,59,Chomeur,Marié,Secondaire,No,957,No,No,Portable,301,1,89,2,Succes,Yes
109,2010-03-08,33,Manager,Célibataire,Tertiaire,No,224,No,No,Portable,241,2,-1,0,,Yes
110,2010-03-08,36,Col bleu,Marié,,No,444,No,No,Portable,139,6,279,2,Echec,No
111,2010-03-09,35,Manager,Marié,Tertiaire,No,2161,No,No,Portable,139,2,181,3,Succes,Yes
112,2010-03-09,69,Retraité,Marié,,No,426,No,No,Fixe,225,1,90,1,Succes,Yes
113,2010-03-09,31,Manager,Célibataire,Tertiaire,No,147,No,No,Portable,469,1,181,2,Succes,Yes
114,2010-03-09,73,Retraité,Marié,Primaire,No,508,No,No,Portable,176,1,-1,0,,Yes
115,2010-03-09,76,Retraité,Divorcé,Primaire,No,802,No,No,Portable,241,1,181,5,Succes,Yes
116,2010-03-09,35,Technicien,Marié,Secondaire,No,294,Yes,No,Portable,301,1,90,4,Succes,Yes
117,2010-03-09,28,Manager,Célibataire,Tertiaire,No,1825,No,No,Portable,236,1,-1,0,,Yes
118,2010-03-09,34,Manager,Marié,Tertiaire,No,158,No,No,Portable,212,3,181,6,Succes,Yes
119,2010-03-09,33,Manager,Marié,Tertiaire,No,0,Yes,No,Portable,305,1,326,1,Succes,Yes
120,2010-03-09,36,Services,Marié,Secondaire,No,4721,No,No,Portable,288,2,90,3,Succes,Yes
121,2010-03-09,44,Manager,Marié,,No,282,No,No,Portable,700,2,154,3,Succes,Yes
122,2010-03-09,19,Etudiant,Célibataire,,No,108,No,No,Portable,273,2,182,1,Succes,Yes
123,2010-03-09,29,Manager,Célibataire,Tertiaire,No,2344,Yes,No,Portable,265,2,-1,0,,No
124,2010-03-09,28,Manager,Célibataire,Tertiaire,No,187,No,No,Portable,295,1,-1,0,,Yes
125,2010-03-09,51,Col bleu,Marié,Primaire,No,3764,No,No,Fixe,450,3,181,6,Succes,Yes
126,2010-03-10,52,Chomeur,Marié,Secondaire,No,1416,No,No,Portable,436,2,182,1,Succes,Yes
127,2010-03-10,61,Retraité,Marié,Secondaire,No,2801,Yes,Yes,Portable,239,1,-1,0,,Yes
128,2010-03-10,51,Admin,Divorcé,Tertiaire,No,66,Yes,No,Portable,138,1,478,2,Echec,No
129,2010-03-10,29,Admin,Célibataire,Secondaire,No,1448,No,No,Portable,217,1,184,7,Autre,No
130,2010-03-10,70,Retraité,Marié,,No,647,No,No,Fixe,152,1,348,1,Echec,No
131,2010-03-10,46,Manager,Divorcé,Tertiaire,No,461,No,No,Portable,127,1,70,2,Succes,No
132,2010-03-10,71,Retraité,Marié,Primaire,No,2171,No,No,Portable,625,4,-1,0,,No
133,2010-03-10,39,Manager,Marié,Tertiaire,No,494,No,No,Portable,106,2,478,3,Echec,Yes
134,2010-03-11,58,Manager,Marié,Tertiaire,No,1016,No,No,Fixe,78,2,91,1,Echec,No
135,2010-03-11,37,Manager,Marié,Tertiaire,No,0,No,No,Portable,129,4,107,2,Echec,No
136,2010-03-11,26,Admin,Célibataire,Tertiaire,No,3730,Yes,No,Portable,93,1,98,4,Autre,No
137,2010-03-11,79,Retraité,Marié,Primaire,No,3025,No,No,Fixe,184,1,90,6,Succes,No
138,2010-03-11,37,Chomeur,Marié,Secondaire,No,1978,No,No,Portable,335,1,-1,0,,Yes
139,2010-03-11,29,Manager,Célibataire,Tertiaire,No,1351,No,No,Portable,228,1,91,1,Echec,No
140,2010-03-11,75,Retraité,Marié,Primaire,No,1765,No,No,Fixe,282,2,181,2,Succes,No
141,2010-03-11,64,Retraité,Marié,Primaire,No,43,No,No,Portable,117,1,91,1,Succes,No
142,2010-03-11,54,Manager,Divorcé,Tertiaire,No,7010,No,No,Portable,275,2,-1,0,,No
143,2010-03-12,33,Indépendant,Marié,Tertiaire,No,1676,Yes,No,Portable,102,2,184,2,Echec,No
144,2010-03-12,123,Manager,,Tertiaire,No,948,Yes,,Portable,121,2,207,1,Echec,No
145,2010-03-12,80,Retraité,Marié,Primaire,No,155,No,No,Fixe,290,1,93,2,Succes,Yes
146,2010-03-12,46,Col bleu,Marié,Secondaire,No,640,Yes,No,Portable,215,1,182,4,Succes,Yes
147,2010-03-12,61,Admin,Marié,Secondaire,No,4608,No,No,Portable,212,1,-1,0,,Yes
148,2010-03-12,72,Retraité,Marié,Secondaire,No,951,No,Yes,Portable,229,3,339,1,Echec,Yes
149,2010-03-12,36,Manager,Marié,Tertiaire,No,495,No,No,Portable,213,3,182,6,Succes,Yes
150,2010-03-15,40,Manager,Célibataire,Tertiaire,No,1509,No,No,Portable,144,2,124,1,Echec,No
151,2010-03-15,41,Manager,Marié,Tertiaire,No,298,No,No,Portable,209,2,315,4,Echec,No
152,2010-03-15,33,Technicien,Marié,Secondaire,No,1,Yes,No,Portable,261,4,-1,0,,No
153,2010-03-15,27,Etudiant,Célibataire,Secondaire,No,3754,No,No,Portable,106,3,98,1,Autre,No
154,2010-03-15,77,Retraité,Marié,Primaire,No,29340,No,No,Portable,257,1,91,2,Autre,Yes
155,2010-03-15,74,Retraité,Marié,Tertiaire,No,1843,No,No,Portable,192,1,185,2,Succes,Yes
156,2010-03-15,123,Manager,,Tertiaire,No,1077,No,,Portable,151,1,96,1,Echec,No
157,2010-03-15,25,Etudiant,Célibataire,,No,839,No,No,Portable,109,1,181,2,Autre,No
158,2010-03-15,35,Col bleu,Marié,Secondaire,No,262,No,No,Portable,427,1,181,3,Succes,Yes
159,2010-03-15,42,Admin,Marié,Secondaire,No,16517,No,No,Portable,549,5,203,4,Echec,No
160,2010-03-15,82,Retraité,Divorcé,Primaire,No,0,No,No,Fixe,506,2,195,1,Autre,Yes
161,2010-03-15,33,Admin,Célibataire,Secondaire,No,206,Yes,No,Portable,287,2,-1,0,,No
162,2010-03-15,67,Retraité,Divorcé,Primaire,No,2027,No,No,Portable,161,2,-1,0,,Yes
163,2010-03-15,71,Retraité,Marié,Tertiaire,No,3561,No,No,Fixe,577,7,-1,0,,Yes
164,2010-03-15,75,Retraité,Divorcé,Primaire,No,852,No,No,Portable,341,1,-1,0,,No
165,2010-03-15,41,Admin,Divorcé,Secondaire,No,6046,Yes,Yes,Fixe,300,6,182,2,Succes,Yes
166,2010-03-15,51,Col bleu,Marié,Primaire,No,3844,No,No,Portable,195,2,215,1,Autre,No
167,2010-03-15,42,Manager,Marié,Tertiaire,No,1205,No,No,Fixe,129,1,188,2,Succes,No
168,2010-03-16,34,Col bleu,Divorcé,Tertiaire,No,12409,No,No,Portable,189,1,480,4,Autre,No
169,2010-03-16,38,Employé de ménage,Célibataire,Secondaire,No,465,Yes,No,Portable,180,1,302,3,Succes,Yes
170,2010-03-16,38,Manager,Marié,,No,76,No,No,Portable,261,1,-1,0,,Yes
171,2010-03-16,60,Retraité,Marié,Secondaire,No,8332,No,No,Portable,279,1,194,7,Autre,Yes
172,2010-03-16,47,Employé de ménage,Célibataire,Tertiaire,No,3232,No,No,Fixe,294,1,274,2,Echec,No
173,2010-03-16,60,Retraité,Divorcé,Secondaire,No,514,No,No,Portable,263,1,124,9,Autre,Yes
174,2010-03-16,53,Admin,Marié,Secondaire,No,1796,No,No,Fixe,295,1,91,2,Succes,Yes
175,2010-03-16,61,Retraité,Marié,Secondaire,No,5196,No,No,Fixe,244,2,95,4,Autre,No
176,2010-03-16,123,Manager,,Tertiaire,No,1612,No,,Portable,384,1,182,5,Echec,No
177,2010-03-16,29,Manager,Célibataire,Tertiaire,No,874,Yes,No,Portable,231,1,181,2,Succes,Yes
178,2010-03-16,70,Retraité,Marié,Primaire,No,3782,No,No,Portable,618,1,-1,0,,No
179,2010-03-16,86,Retraité,Marié,Primaire,No,1817,No,No,Portable,272,3,-1,0,,No
180,2010-03-16,64,Retraité,Marié,Primaire,No,2140,No,No,Portable,881,3,155,2,Echec,Yes
181,2010-03-17,32,Manager,Célibataire,Tertiaire,No,1619,No,No,Portable,184,1,321,2,Succes,No
182,2010-03-17,28,Admin,Marié,Secondaire,No,897,No,No,Portable,395,1,285,1,Succes,No
183,2010-03-17,35,Chomeur,Célibataire,Secondaire,No,295,No,No,,473,1,-1,0,,Yes
184,2010-03-17,31,Etudiant,Célibataire,Tertiaire,No,64,No,No,Portable,181,2,183,3,Echec,No
185,2010-03-17,31,Etudiant,Célibataire,,No,7826,No,No,Fixe,133,7,-1,0,,No
186,2010-03-17,22,Indépendant,Célibataire,Tertiaire,No,780,No,No,Portable,272,3,-1,0,,Yes
187,2010-03-18,54,Services,Divorcé,Secondaire,No,0,No,No,Portable,362,1,290,3,Succes,Yes
188,2010-03-18,59,Retraité,Marié,Secondaire,No,2126,No,No,Portable,359,1,343,1,Echec,No
189,2010-03-18,35,Admin,Marié,Secondaire,No,304,No,No,Portable,237,1,-1,0,,Yes
190,2010-03-18,58,Col bleu,Marié,Primaire,No,1965,No,No,Portable,125,1,-1,0,,No
191,2010-03-18,27,Technicien,Célibataire,Tertiaire,No,1976,No,No,Portable,394,2,101,1,Autre,No
192,2010-03-18,46,Manager,Divorcé,Tertiaire,No,624,No,No,Portable,420,1,276,1,Autre,Yes
193,2010-03-18,25,Col bleu,Célibataire,Secondaire,No,303,No,No,Portable,265,1,-1,0,,Yes
194,2010-03-18,46,Manager,Marié,Tertiaire,No,273,Yes,No,Portable,910,2,184,4,Succes,Yes
195,2010-03-18,59,Manager,Marié,Tertiaire,No,3342,No,No,Portable,467,2,188,6,Autre,Yes
196,2010-03-18,86,Retraité,Marié,Secondaire,No,1503,No,No,Fixe,165,3,101,1,Autre,No
197,2010-03-18,35,Technicien,Célibataire,Secondaire,No,1227,No,No,Portable,593,4,90,6,Autre,Yes
198,2010-03-22,52,Technicien,Célibataire,Secondaire,No,436,No,Yes,,95,1,-1,0,,Yes
199,2010-03-22,22,Technicien,Célibataire,Secondaire,No,283,Yes,No,Portable,254,2,-1,0,,Yes
200,2010-03-22,31,Manager,Célibataire,Tertiaire,No,3384,No,No,Portable,247,3,187,3,Succes,Yes
201,2010-03-22,123,Manager,,Tertiaire,No,2367,No,,Portable,173,2,181,4,Succes,Yes
202,2010-03-22,35,Manager,Célibataire,Tertiaire,No,5958,Yes,No,Portable,215,1,-1,0,,Yes
203,2010-03-22,60,Admin,Marié,Secondaire,No,3735,No,No,Portable,248,1,90,10,Succes,Yes
204,2010-03-22,37,Technicien,Marié,Secondaire,No,1458,No,No,Portable,344,1,326,1,Succes,No
205,2010-03-22,54,Manager,Marié,Secondaire,No,2693,No,No,Portable,222,1,188,6,Autre,Yes
206,2010-03-22,27,Manager,Célibataire,Tertiaire,No,6791,No,No,Fixe,174,2,229,28,Succes,No
207,2010-03-23,72,Retraité,Marié,Primaire,No,4657,No,No,Fixe,255,1,91,8,Succes,Yes
208,2010-03-23,42,Chomeur,Marié,Secondaire,No,0,Yes,Yes,Portable,158,1,330,12,Echec,No
209,2010-03-23,123,Indépendant,,Tertiaire,No,3290,No,,Portable,136,1,291,2,Succes,Yes
210,2010-03-23,29,Indépendant,Célibataire,Tertiaire,No,655,No,No,Portable,273,1,-1,0,,Yes
211,2010-03-23,30,Etudiant,Célibataire,Secondaire,No,1681,No,No,Portable,128,1,106,2,Succes,Yes
212,2010-03-23,28,Manager,Célibataire,Tertiaire,No,866,No,No,Portable,191,2,-1,0,,Yes
213,2010-03-25,43,Services,Marié,Secondaire,No,774,No,No,Portable,101,1,421,1,Succes,Yes
214,2010-03-25,37,Services,Marié,Secondaire,No,2678,No,No,Portable,156,1,-1,0,,Yes
215,2010-03-25,46,Manager,Célibataire,Secondaire,No,5993,No,No,Portable,151,1,184,2,Echec,No
216,2010-03-25,62,Manager,Marié,Tertiaire,No,3371,No,No,Portable,187,1,178,2,Succes,Yes
217,2010-03-25,20,Etudiant,Célibataire,,No,179,No,No,Portable,196,3,182,3,Echec,No
218,2010-03-25,77,Manager,Marié,Tertiaire,No,5619,No,No,Portable,189,1,-1,0,,No
219,2010-03-25,26,Manager,Célibataire,Tertiaire,No,1370,No,No,Portable,231,1,295,1,Autre,No
220,2010-03-25,57,Manager,Marié,Tertiaire,No,10583,No,No,Portable,272,1,178,6,Succes,Yes
221,2010-03-25,58,Services,Marié,Secondaire,No,307,No,No,Fixe,282,2,-1,0,,No
222,2010-03-26,26,Etudiant,Marié,Tertiaire,No,8750,No,No,Portable,98,2,-1,0,,No
223,2010-03-26,57,Employé de ménage,Marié,Primaire,No,780,No,No,Portable,94,2,-1,0,,No
224,2010-03-26,33,Manager,Célibataire,Tertiaire,No,4176,No,No,Portable,288,3,-1,0,,Yes
225,2010-03-26,47,Manager,Célibataire,Tertiaire,No,334,Yes,No,Portable,360,1,326,8,Echec,Yes
226,2010-03-26,60,Retraité,Marié,Secondaire,No,2060,No,No,Portable,454,1,88,3,Autre,No
227,2010-03-26,39,Technicien,Célibataire,Tertiaire,No,393,No,No,Portable,281,1,-1,0,,Yes
228,2010-03-26,30,Manager,Marié,Tertiaire,No,2994,Yes,No,Portable,156,1,137,1,Autre,No
229,2010-03-26,82,Retraité,Divorcé,Primaire,No,1419,No,No,Fixe,139,1,-1,0,,No
230,2010-03-26,59,Retraité,Marié,Primaire,No,4007,No,No,Portable,157,2,116,4,Echec,No
231,2010-03-26,72,Retraité,Marié,Primaire,No,0,No,No,Portable,201,3,191,3,Echec,No
232,2010-03-26,35,Admin,Marié,Tertiaire,No,957,Yes,No,Portable,263,4,667,4,Echec,No
233,2010-03-26,70,Manager,Marié,Tertiaire,No,1295,No,No,Portable,698,1,-1,0,,No
234,2010-03-29,30,Indépendant,Célibataire,Tertiaire,No,916,No,No,Portable,92,2,90,2,Succes,Yes
235,2010-03-29,36,Admin,Marié,Tertiaire,No,1145,Yes,No,Portable,198,2,181,3,Echec,No
236,2010-03-29,45,Technicien,Marié,Secondaire,No,2981,Yes,Yes,Portable,88,3,311,3,Echec,No
237,2010-03-29,31,Manager,Célibataire,Tertiaire,No,4319,Yes,No,Portable,515,2,334,5,Echec,No
238,2010-03-29,51,Admin,Marié,Secondaire,No,1204,No,No,Portable,317,4,-1,0,,No
239,2010-03-29,31,Manager,Célibataire,Tertiaire,No,522,No,No,Fixe,113,4,-1,0,,No
240,2010-03-29,28,Admin,Célibataire,Tertiaire,No,832,No,No,Fixe,433,3,342,1,Echec,Yes
241,2010-03-30,42,Technicien,Marié,Secondaire,No,2152,No,No,Portable,361,2,181,2,Echec,No
242,2010-03-30,40,Admin,Marié,Secondaire,No,3126,Yes,No,Portable,186,2,90,5,Echec,No
243,2010-03-30,57,Manager,Divorcé,Tertiaire,No,3287,No,No,Portable,277,2,337,1,Succes,Yes
244,2010-03-30,23,Services,Célibataire,Secondaire,No,488,No,No,Portable,236,1,92,2,Autre,Yes
245,2010-03-30,56,Employé de ménage,Célibataire,Tertiaire,No,1947,No,No,,110,1,-1,0,,Yes
246,2010-03-30,31,Manager,Célibataire,Tertiaire,No,9629,No,No,Portable,371,1,174,4,Echec,No
247,2010-03-30,33,Admin,Célibataire,Tertiaire,No,7608,No,No,Portable,238,4,-1,0,,Yes
248,2010-03-31,44,Admin,Divorcé,Tertiaire,No,558,Yes,No,Portable,262,2,-1,0,,Yes
249,2010-03-31,80,Retraité,Divorcé,Primaire,No,235,No,No,Portable,577,1,223,3,Autre,Yes
250,2010-03-31,47,Manager,Marié,Tertiaire,No,288,No,No,Portable,193,1,181,1,Succes,Yes
251,2010-03-31,27,Etudiant,Célibataire,Secondaire,No,6036,No,No,Portable,175,1,181,1,Echec,Yes
